address,amenities,area,bathrooms,bedrooms,description,details,lease,link,name,price,property_type,psf_price
Singapore 542305 - D19,"High Floor,Bomb Shelter,Balcony","1,184 sqft / 109.99 sqm",2,3,"5rm flat for Sale
Directly Opposite Nan Chiau High School
3 mins walking distance to TongKang LRT
Door facing West
No noon sun in the unit.
Good layout with large squarish living room.
All race and PR eligible. 

Hurry! Dont Miss! Call Christopher at 92275777 for viewing appointment now!","Furnishing,Unfurnished,Facing,East,Availability,Now,District,D19",2001 - 99 years,https://www.99.co/singapore/sale/property/305b-anchorvale-link-hdb-jmbTmQo33EjEkW2QhGTaTk?enquiry_position=13&enquiry_source=Search,305B Anchorvale Link,"$448,000",HDB 5 Rooms,$378 psf
Singapore 650243 - D23,,"1,302 sqft / 120.95 sqm",2,3,"Blk 243 Bukit Batok 
corner unit. original lift level #05
original condition
Can contra.

near market.

900m to Bukit Batok MRT

Indian quota filled.

Malay owner.

","Furnishing,Unfurnished,Availability,Now,District,D23",1985 - 99 years,https://www.99.co/singapore/sale/property/243-bukit-batok-east-avenue-5-hdb-dMrUV6hTbiydHaQS5ZCTCk?enquiry_position=14&enquiry_source=Search,243 Bukit Batok East Avenue 5,"$455,000",HDB 5 Rooms,$349 psf
Singapore 140146 - D3,"City View,Greenery View,Balcony","1,420 sqft / 131.92 sqm",2,4,"Must View! Call Christopher 92275777 to view now!
Rare 5A Corner
132SQM / 1420 SQFT
3 Huge Bedrooms
1 Study Room
Balcony in the Hall
Service Balcony in the Kitchen
Nicely Renovated and maintain
Bright, Windy and Breezy
Lease: 1 Aug 1995
24 Years old Only
Remaining Lease : 75 years

Best Location in the Town!
2 Mins To Queenstown MRT!
3 Mins to Queenstown Stadium 
3 Mins to Queenstown Swimming Pool
3 Mins To Wet Market and Shops
Full Of Amenities 
Direct Buses to Orchard , CBD & Town


Chinese Not Eligible!!!
Call 92275777
 Christopher Yeo Propnex

Blk 146 Mei Ling Street (S)140146
Queenstown HDB Town
Mei Ling Street is located in the Queenstown HDB Estate. 

It is accessible through the nearest train stations such as Queenstown (EW19), Commonwealth (EW20), and Redhill (EW18). The nearest primary schools are Queenstown Primary School, New Town Primary School, and Gan Eng Seng Primary School. 

This property is close to amenities like NTUC FAIRPRICE (STIRLING ROAD), Cold Storage Anchorpoint , and NTUC FAIRPRICE (DAWSON). The closest shopping malls are Anchorpoint, ANCHORPOINT SHOPPING CENTRE, and QUEENSWAY SHOPPING CENTRE.","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D03",1995 - ,https://www.99.co/singapore/sale/property/146-mei-ling-street-hdb-J3QbJb9WZn8D6sa86rpHZJ?enquiry_position=12&enquiry_source=Search,146 Mei Ling Street,"$890,000",HDB 5 Rooms,$627 psf
Singapore 822308 - D19,"Greenery View,Bomb Shelter",990 sqft / 91.97 sqm,2,2,"Super Super Attractive Price!
ONLY $580K Nego!
(2Beds 2 Baths - 990Sqft)

Condo Concept Designing House!

Punggol MRT & Sumang LRT station (Within 5min Walk)

Sincere & Motivated Seller

Call/ WhatsApp David (俊平) @ 90669589 for exclusive viewing today!

About the Unit:
- 4 Years Old Unit! Early Sale Approval Granted!
- Most ICONIC development in Punggol!
- Beautiful Renovated Unit, save on Reno costs!
- Unblocked views of lush greenery and water.
- Living & Dining areas are very spacious.
- Regular and squarish layout ensure no wastage of space.
- Modern & Timeless TV feature wall allows you to personalize your favorite décor items.
- The bench doubles as storage and provides additional seating area for your guest.
- Full height windows allow natural light in making the whole unit bright and breezy.
- Modern enclosed -concept kitchen is fitted with ample cabinet & quality counter tops.
- Master bedroom comes with a MASSIVE walk in wardrobe, and a built in headboard with storage on both side of the bed.
- Condo-like layout with both common rooms sharing the balcony overlooking the beautiful view.
- Second common room comes with a built in wardrobe and is great as a guest bedroom or study.
Nearby Amenities:
- Waterway Point Shopping Mall is just next door and houses many restaurants, clinic, educational centres, NTUC finest and also a cinema for movie lovers.
- 10 mins walk to Punggol Safra and the upcoming Sport Centre & Town Hub.
- Superb convenience

School Within 2km:
- Valour Primary School
- Punggol Green Primary School
- Punggol View Primary School
- Pungggol Cove Primary School
- Oasis Primary School
- Edgefield Primary School
- Compassvale Primary School
- Rivervale Primary School
- Meetoh Primary School
and many more.

Call/ WhatsApp David (俊平) @ 90669589 for exclusive viewing today!","Furnishing,Unfurnished,Availability,Now,District,D19", - 99 years,https://www.99.co/singapore/sale/property/308b-punggol-walk-hdb-esvvvV478tdHjEXEKXWAQj?enquiry_position=15&enquiry_source=Search,308B Punggol Walk,"$580,000",HDB 4 Rooms,$586 psf
53 Lorong 40 Geylang - D14,"Gym,Timber Deck,Jacuzzi,Steam Room,Parking,Pond,Karaoke,Fun Pool,Bomb Shelter,Renovated,Maid Room,Greenery View,Swimming Pool,Wading Pool,Spa Pool,Playground,Fitness Corner,High Floor,Security,BBQ","1,206 sqft / 112.04 sqm",3,2,"FREEHOLD AND HUGE 2 BEDROOM SIZE AT 1,206 SQFT

NEARBY AMMENITIES
3 MINS WALK TO KONG HWA SCHOOL
5 MINS DRIVE TO FAMOUS OLD AIRPORT ROAD HAWKER CENTRE
10 MINS WALK TO PAYA LEBAR MRT, SINGPOST CENTRE, PLQ AND KINEX MALL
10 MINS DRIVE TO PARKWAY PARADE AND KATONG I12
10 MINS DRIVE TO NATIONAL STADIUM AND NICOLL HIGHWAY
NEARBY PUBLIC TRANSPORT - BUS 70, 76, 135, 197.

CALL TOMMY CHEN 93663683 FOR VIEWING APPOINTMENT NOW!","Furnishing,Fully Furnished,Facing,North,Availability,Now,District,D14",2005 - Freehold,https://www.99.co/singapore/sale/property/the-waterina-condo-afFhopqyQXpvDu2jezrgHF?enquiry_position=20&enquiry_source=Search,The Waterina,"$1,670,000",Condo,"$1,385 psf"
21 Marina Way - D1,"Clubhouse,Gym,Jacuzzi,Outdoor Dining,Balcony,Multi-purpose Hall,Fibre Ready,Pavilion,Pool Deck,Lounge,Mini Golf Range,Wading Pool,Hydrotherapy Pool,Fitness Corner,High Floor,Pool View,Lap Pool,BBQ",700 sqft / 65.03 sqm,1,1,"SELLING @ $300K BELOW VALUE (est)
Call 94300047 to enquire!","Furnishing,Partially Furnished,Availability,Now,District,D01",2018 - 99 years,https://www.99.co/singapore/sale/property/marina-one-residences-condo-829JWQYmnXdm2XBbeRfzbY?enquiry_position=35&enquiry_source=Search,Marina One Residences,"$1,598,000",Condo,"$2,283 psf"
11 Balmoral Road - D10,"Gym,Sea View,Parking,Balcony,Pavilion,Greenery View,Pool Deck,Swimming Pool,Wading Pool,Jacuzzi,Playground,Security,Fibre Ready,Sculpture,BBQ","1,249 sqft / 116.03 sqm",3,3,"District 10 – BALMORAL ROAD

THE HYDE

The Hyde is a new prime freehold development by developer Aurum Land (Private) Limited. A subsidiary of Woh Hup Holdings Pte Ltd, Aurum Land champions functionality and form in its designs to create exclusive and beautiful living space. The development comprises of 12 stories with 117 units with a unit mix from 1-bedroom to 4-bedroom choices. It’s location at district 10 makes it the coveted address for the discerning few.

Every aspect of The Hyde emanates quiet privilege. It stands apart through its sleek, sculptural and distinctive profile. Meticulously landscaped with lush tropical foliage to provide subtle screening, The Hyde offers a peaceful and serene environment. In addition, smart home systems with multiple levels of security provides homeowners and their designed guests diplomat-level privacy. From the grounds to the rooftop, The Hyde creates an enchanting reality that connects homeowners.

Strategically location along Balmoral Road, residents will enjoy easy connections to the Central Expressway (CTE), Pan Island Expressway (PIE) and Orchard Road. Residents will be in the centre of a wide network of connectivity and convenience. With Stevens MRT station and Newton MRT Station just minutes away and all the major bus routes serving the vicinity of The Hyde, public commute is accessible and convenient for all.

Project Highlights:

117 Rare Freehold homes fronting Goodwood Hill, prime D10 Balmoral Road

Within 1KM to Anglo-Chinese School & Singapore Chinese Girls’ Primary School

Minutes walk to Newton MRT (North South Line) & Stevens MRT (Downtown Line) - Both Interchange stations

Call 94300047 Now To Enquire.","Furnishing,Unfurnished,Facing,South East,Availability,Now,District,D10",2022 - Freehold,https://www.99.co/singapore/sale/property/the-hyde-condo-q8dki7yHeQuh9QqtdKQet4?enquiry_position=33&enquiry_source=Search,The Hyde,"$3,549,000",Condo,"$2,841 psf"
13 Silat Avenue - D3,"Clubhouse,Function Room,Water Feature,Gym,Sea View,Tennis Court,Parking,Pond,Patio / PES,Karaoke,Balcony,Retail Shops,Pavilion,Mini Golf Range,Aerobic Pool,Pool Deck,Lounge,Swimming Pool,Wading Pool,Spa Pool,Playground,High Floor,Security,Sky Terrace,Lap Pool,BBQ,Study Room",527 sqft / 48.95 sqm,1,1,"AVENUE SOUTH RESIDENCE factsheet

Lifestyle living inthe heart of Silat Avenue

SILAT AVENUE – DISTRICT 3

Avenue South Residence is a new development by developers UOL, UIC and Kheng Leong located in the Core Central Region (CCR).This development consists of 56 storey twin towers, five four-storey conservation blocks, a childcare centre, 8 commercial units and a total of 1,074 residential units with a unit mix from 1-Bedroom to 4-Bedroom Premium.

Residents will be able to enjoy a wide variety of amenities with 18 unique dining and entertainment venues and 18 experiential sky gardens and sky court.Some facilities available within the development are:

The Sanctuary

The Resort

The Oasis

Garden Observatory and Star-Gazing Alcove on 52ndstorey

Sky Court on the 36thstorey

Firefly Garden and Scent Garden on 24thstorey

Avenue South Residenceresidents will be able to enjoy a variety of shopping, dining and entertainment activities located near the development.Orchard Road Shopping Belt, Suntec City, Marina Square, Central Business District (CBD), Marina Bay, Sentosa and Southern Waterfront are some of the places that are less than 10 minutes’ drive away.Residents would be able to enjoy ease of public transport with the upcoming Tanjong Katong MRT station and Keppel MRT Station less than 1km away.

Project Highlights:

1,074 residential units

Unit mix of1-Bedroom, 2-Bedroom, 2-Bedroom Premium, 3-Bedroom, 3-Bedroom Premium, 4-Bedroom Premium

18 Unique Dining and Entertainment Venues

18 Experiential Sky Gardens and Sky Court

Excellent Accessibility to Central Part of Singapore

Project Details:

Developer: UOL, UIC and Kheng Leong

Address: 1,3,5,7,9,11 and 13 Silat Avenue

Property Type: Private Condominium

Tenure: 99 years leasehold

Total Units: 1074 Residential Units

Unit Mix: 1-Bedroom, 2-Bedroom, 2-Bedroom Premium, 3-Bedroom, 3-Bedroom Premium, 4-Bedroom Premium

Call 98585738 Now To Enquire.","Furnishing,Unfurnished,Facing,South,Availability,Now,District,D03",2023 - 99 years,https://www.99.co/singapore/sale/property/avenue-south-residence-condo-LZDYwWhyR42j5behqkMDgP?enquiry_position=29&enquiry_source=Search,Avenue South Residence,"$1,080,000",Condo,"$2,049 psf"
22 Serangoon North Avenue 1 - D19,"Jogging Track,Clubhouse,Function Room,Mini Golf Range,Gym,Sea View,Tennis Court,Parking,Undrewater Fitness Station,Outdoor Dining,Balcony,Fun Pool,Retail Shops,Pavilion,Hammocks,Reflexology Path,Greenery View,Pool Deck,Swimming Pool,Wading Pool,Jacuzzi,Fountain,Playground,Fitness Corner,Fibre Ready,Lap Pool,BBQ,Spa Pavilion",850 sqft / 78.96 sqm,2,3,"3 Bedder @ only 1,500psf
!!DISCOUNT DISCOUNT DISCOUNT!!

Call 94300047 to enquire!","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D19",2024 - 99 years,https://www.99.co/singapore/sale/property/affinity-at-serangoon-condo-S4wrpjqntnTzSDg45AkZUA?enquiry_position=31&enquiry_source=Search,Affinity At Serangoon,"$1,275,000",Condo,"$1,500 psf"
1 Tampines Street 86 - D18,"Clubhouse,Pool View,Pavilion,Renovated,Maid Room,Gym,Wading Pool,Spa Pool,Playground,High Floor,Fibre Ready,Tennis Court,Balcony",829 sqft / 77.01 sqm,2,2,"FIRE SALE! SELLING VERY CHEAP! BELOW Developer Price! 
View exclusively @ 94300047
.
High Floor With Beautiful Pool View
Very spacious 2 + study with beautiful Pool Facing!

✔ Big Rooms
✔ Very good layout, spacious and bright
✔ High floor, pool facing
✔ Enclosed kitchen
✔ 5 mins walk to Bedok reservoir park~
✔ Near to famous ST Hilda’s primary and secondary school and UWC international school
✔ Tenanted for 2 years with good rental yield.  Early tenancy cessation negotiable.


Come find out why this development has better layout than nearby projects like Santorini, The Alps Residences, The Tapestry, Waterview at Tampines and Arc at Tampines.


Nearby:
The Santorini, Arc at Tampines, Waterview @ Tampines, The Tropica, The Tapestry, The Alps Residences, JunYuan Primary School, Springfield Secondary School, Temasek Polytechnic, Tampines MRT, Tampines West MRT, United World College of South East Asia, Poi Ching School, Overseas Family School, Bedok Reservoir, Tampines Quarry","Furnishing,Partially Furnished,Facing,North East,Availability,Now,District,D18",2016 - 99 years,https://www.99.co/singapore/sale/property/q-bay-residences-condo-srbawQNBxmsTXVEJpgm2Xc?enquiry_position=30&enquiry_source=Search,Q Bay Residences,"$928,000",Condo,"$1,119 psf"
51 Tampines Lane - D18,"Jogging Track,Clubhouse,Sea View,Tennis Court,Pond,Balcony,Pavilion,Lap Pool,Greenery View,Lounge,Wading Pool,Jacuzzi,Playground,Fibre Ready,Reflexology Path,BBQ",581 sqft / 53.97 sqm,1,2,"Condominium living in Tampines, at affordable entry price

TREASURE AT TAMPINES

DISTRICT 18 – TAMPINES

Treasure at Tampines (former Tampines Court), is an exciting mega new development in a mature estate of Tampines, with a total of 2,203 units proudly developed by the reputable developer Sim Lian Group, located at Tampines St 11 (D18). Treasure signifies the luxuriance of riches and everything you hold dear. It resembles the celebration of moments and joys of living that are most valued.

This 99-years leasehold development has a modern and contemporary architecture with extensive use of glass to bring brightness and light into the living spaces. It provides a great variety of lifestyle options within the development with 128 wholesome facilities that cater to a wide spectrum of home owners.

Some facilities available within the development are:

Gourmet dining

Trampoline Courtyard

Aqua Aerobic Pool with Aqua gym equipment

Treasure Clubhouse

Wellness Corner(Elderly Fitness)

Fitness Garden(Adult Fitness)

Treasure at Tampines is within close proximity to reputable schools like Angsana Pri, Changkat Pri, Chongzheng Pri, Tampines Pri & Yumin Pri School, etc. additionally, there are plenty of shopping amenities available including Tampines Mall, Century Square, Tampines One, Our Tampines Hub, Eastpoint Mall, Giant & IKEA and Jewel at Changi Airport.

Project Highlights:

Minutes walk to Simei MRT (East West Line) & Tampines West MRT (Downtown Line)

Accessibility - Conveniently accessible islandwide via PIE & TPE

Reputable Schools - Angsana Pri, Changkat Pri, Chongzheng Pri, Tampines Pri & Yumin Pri School, etc

Shopping Conveniences - Tampines Mall, Century Square, Tampines One, Our Tampines Hub, Eastpoint Mall, Giant & Ikea, Jewel at Changi Airport, etc

Call 98585738 Now To Enquire.","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D18",2023 - 99 years,https://www.99.co/singapore/sale/property/treasure-at-tampines-condo-rQy67hEuJmUeAf7WJWTg8i?enquiry_position=34&enquiry_source=Search,Treasure at Tampines,"$829,000",Condo,"$1,427 psf"
Richards Avenue - D19,"Maid Room,Bomb Shelter,Pool View,Roof Terrace,Renovated","4,962 sqft / 460.98 sqm",6,6,"

Freehold! CHEAP! Finesse ID Treated Terrace (Strata) Landed

Immersed within Serenity whilst enjoying close proximity to Kovan MRT & Heartland Mall 

☎Hotline: 94300047
🔆Contact direct for an exclusive VVIP Preview

- Freehold 3 Storey with Roof Terrace 

- Mins Walk to Kovan MRT and Heartland Mall

- With 6 Bedrooms  (ensuite)

- Direct Pool Access (with Private Baby Pool)

- Well kept and renovated $150k 2 years ago only

- 2 Private Car Park lots


Renowned Primary School Proximity:

- Rosyth Primary 

- Holy Innocents' Primary

- Montfort Junior School

- Xinmin Primary

- CHIJ Our Lady of Good Counsel


","Furnishing,Partially Furnished,Facing,South East,Availability,Now,Landed House Area Zoning,Others,District,D19", - Freehold,https://www.99.co/singapore/sale/property/richards-avenue-landed-ttiTCgeHRCYWoEBAPEMLFQ?enquiry_position=32&enquiry_source=Search,Infinium,"$3,350,000",,$675 psf
